tau,slice,series,n,sq
48,sel,s24,676,46.60493743889531
48,sel,s48,676,44.05620631962071
48,sel,s72,676,43.701539449865834
48,sel,s96,676,49.33085156759505
48,sel,s120,676,49.892607379866305
48,sel,b24x48,676,45.100321814102564
48,sel,b24x72,676,44.57321479827452
48,sel,b24x96,676,47.02145481015887
48,sel,b24x120,676,46.627690932415504
48,sel,b48x72,676,43.46439087853631
48,sel,b48x96,676,45.86463618047181
48,sel,b48x120,676,45.5334388239397
48,sel,b72x96,676,45.83196442869682
48,sel,b72x120,676,45.584532247945894
48,sel,b96x120,676,48.806778076243454
48,sco,s24,401,37.27252951670006
48,sco,s48,401,41.627924444744615
48,sco,s72,401,39.015724568477594
48,sco,s96,401,39.23247895939612
48,sco,s120,401,40.0098831861416
48,sco,b24x48,401,39.11106156781884
48,sco,b24x72,401,37.789357864556095
48,sco,b24x96,401,37.76653237013342
48,sco,b24x120,401,37.79149989934659
48,sco,b48x72,401,40.127559178267134
48,sco,b48x96,401,39.998644604323324
48,sco,b48x120,401,40.24389635502087
48,sco,b72x96,401,38.75318811949683
48,sco,b72x120,401,39.173432624670056
48,sco,b96x120,401,39.096896693188285
51,sel,s24,673,47.62511647839227
51,sel,s48,673,45.74044956357688
51,sel,s72,673,44.23944205549023
51,sel,s96,673,49.348015039586414
51,sel,s120,673,52.39908697860737
51,sel,b24x48,673,46.38762821679917
51,sel,b24x72,673,45.303682397469366
51,sel,b24x96,673,47.58532035082136
51,sel,b24x120,673,48.35054825981033
51,sel,b48x72,673,44.566694943504665
51,sel,b48x96,673,46.80752974864792
51,sel,b48x120,673,47.6002877637858
51,sel,b72x96,673,46.24628181347431
51,sel,b72x120,673,47.16664655623855
51,sel,b96x120,673,50.15347403744159
51,sco,s24,401,38.176658047018734
51,sco,s48,401,41.73059008508444
51,sco,s72,401,40.17776081329082
51,sco,s96,401,39.577864271664176
51,sco,s120,401,41.244425704547496
51,sco,b24x48,401,39.64899175801174
51,sco,b24x72,401,38.85681867975383
51,sco,b24x96,401,38.4587377097021
51,sco,b24x120,401,38.861262055027126
51,sco,b48x72,401,40.77417566069702
51,sco,b48x96,401,40.24106648232632
51,sco,b48x120,401,40.91882942035609
51,sco,b72x96,401,39.52342269700209
51,sco,b72x120,401,40.343720336832895
51,sco,b96x120,401,39.850146577768236
54,sel,s24,670,49.18220240891755
54,sel,s48,670,48.08693941982098
54,sel,s72,670,45.69166917715908
54,sel,s96,670,48.94490583750885
54,sel,s120,670,53.60705140733205
54,sel,b24x48,670,48.31467488160667
54,sel,b24x72,670,46.75550189026927
54,sel,b24x96,670,48.13314762387135
54,sel,b24x120,670,49.516780595185345
54,sel,b48x72,670,46.427056392866575
54,sel,b48x96,670,47.79929515226153
54,sel,b48x120,670,49.13258193702672
54,sel,b72x96,670,46.80194336977503
54,sel,b72x120,670,48.37861721359283
54,sel,b96x120,670,50.53597266360154
54,sco,s24,401,37.776109639689714
54,sco,s48,401,41.922425656021176
54,sco,s72,401,40.011999386053034
54,sco,s96,401,40.24497321701464
54,sco,s120,401,42.692341635146676
54,sco,b24x48,401,39.571551456283025
54,sco,b24x72,401,38.608327850955305
54,sco,b24x96,401,38.5634055642104
54,sco,b24x120,401,39.42259564836246
54,sco,b48x72,401,40.77742497425694
54,sco,b48x96,401,40.628659906756525
54,sco,b48x120,401,41.7745560373244
54,sco,b72x96,401,39.76423505894974
54,sco,b72x120,401,40.9531025350924
54,sco,b96x120,401,40.953677401082246
57,sel,s24,667,49.692264416915215
57,sel,s48,667,48.939605339632934
57,sel,s72,667,47.626240128788076
57,sel,s96,667,48.68404475665086
57,sel,s120,667,54.25213488299093
57,sel,b24x48,667,49.0185564428512
57,sel,b24x72,667,47.988921962568185
57,sel,b24x96,667,48.31704516741807
57,sel,b24x120,667,49.90629064560484
57,sel,b48x72,667,47.785186932585134
57,sel,b48x96,667,48.11792058548073
57,sel,b48x120,667,49.72393386843743
57,sel,b72x96,667,47.662141259331165
57,sel,b72x120,667,49.648718653539404
57,sel,b96x120,667,50.641745624953984
57,sco,s24,401,38.73460224816547
57,sco,s48,401,42.80703535593361
